,Lemma,POS,unac_eq
240142,dán,N,dan
240144,dán,WW,dan
240148,dát,N,dat
240151,dát,SPEC,dat
240153,dát,VNW,dat
240155,dát,WW,dat
240158,dáág,N,daag
240160,dáár,ADJ,daar
240162,dáár,BW,daar
240164,dáár,N,daar
240167,dáár,SPEC,daar
240173,dáárom,ADJ,daarom
240175,dáárom,BW,daarom
240177,dáárom,N,daarom
240179,dáárvoor,ADJ,daarvoor
240181,dáárvoor,N,daarvoor
338667,gáán,WW,gaan
338670,gáát,N,gaat
338672,gáát,VNW,gaat
338674,gáát,WW,gaat
382970,háár,ADJ,haar
382974,háár,BW,haar
382976,háár,N,haar
382979,háár,WW,haar
382981,háát,BW,haat
382983,háát,WW,haat
469838,kán,WW,kan
591787,máák,N,maak
591789,máák,WW,maak
617298,ná,N,na
617302,ná,SPEC,na
941426,vráág,N,vraag
941428,vráág,WW,vraag
975036,wás,SPEC,was
975038,wát,N,wat
975040,wát,SPEC,wat
975042,wát,TSW,wat
975044,wát,VNW,wat
975046,wát,WW,wat
975049,wáár,ADJ,waar
975051,wáár,BW,waar
975053,wáár,N,waar
975055,wáár,SPEC,waar
999986,áán,ADJ,aan
999988,áán,N,aan
999990,áán,VNW,aan
999992,áán,WW,aan
31822,actiecomité,N,actiecomite
48112,alléén,ADJ,alleen
48114,alléén,BW,alleen
48116,alléén,N,alleen
48118,alléén,TW,alleen
48120,alléén,WW,alleen
67094,associé,N,associe
68512,attaché,N,attache
68514,attachékoffer,N,attachekoffer
114731,blasé,ADJ,blase
114733,blasé,SPEC,blase
144247,bén,N,ben
144249,bén,VNW,ben
144251,bén,WW,ben
146063,café,N,cafe
146069,café,SPEC,cafe
146179,caféruzie,N,caferuzie
148800,canapé,N,canape
152652,carré,SPEC,carre
168325,cité,N,cite
168327,cité,SPEC,cite
170309,cliché,N,cliche
170318,clichématig,ADJ,clichematig
175162,comité,N,comite
175165,comité,SPEC,comite
176058,communiqué,N,communique
177477,comédienne,N,comedienne
177479,comédienne,SPEC,comedienne
183453,coupé,N,coupe
201717,decolleté,N,decollete
202638,defilé,N,defile
237178,duizend-en-één,ADJ,duizend-en-een
237180,duizend-en-één,N,duizend-en-een
237182,duizend-en-één,TW,duizend-en-een
240214,dé,LID,de
240216,dé,N,de
240218,dé,SPEC,de
240221,dé,VNW,de
240341,déjà,SPEC,dejà
246682,eetcafé,N,eetcafe
266213,exposé,N,expose
266215,exposé,SPEC,expose
320014,glacé,N,glace
320018,glacé,SPEC,glace
338756,géén,ADJ,geen
338758,géén,N,geen
338760,géén,SPEC,geen
338762,géén,TW,geen
338764,géén,VNW,geen
338767,géén,WW,geen
383069,hé,ADJ,he
383071,hé,BW,he
383073,hé,SPEC,he
383076,hé,VG,he
383078,hé,VZ,he
383154,héb,N,heb
383156,héb,WW,heb
383180,hém,VNW,hem
383182,hén,N,hen
383184,hén,WW,hen
383198,hét,LID,het
383226,héérlijk,ADJ,heerlijk
395303,internetcafé,N,internetcafe
395966,introducé,N,introduce
423666,jéé,SPEC,jee
423669,jéé,VZ,jee
424891,kaassoufflé,N,kaassouffle
501987,logé,N,loge
518239,macramé,ADJ,macrame
518241,macramé,N,macrame
591875,mét,BW,met
591877,mét,VZ,met
591879,mét,WW,met
591883,méén,ADJ,meen
591885,méén,TW,meen
591887,méén,WW,meen
591891,méér,N,meer
591893,méér,VNW,meer
591938,móét,WW,moet
601395,negligé,N,neglige
617337,nét,ADJ,net
617339,nét,BW,net
617341,nét,N,net
617343,nét,WW,net
623108,oké,ADJ,oke
623113,oké,N,oke
623117,oké,SPEC,oke
623121,oké,TSW,oke
623123,oké,WW,oke
637901,ontvangstcomité,N,ontvangstcomite
662774,papier-maché,ADJ,papier-mache
662776,papier-maché,N,papier-mache
662779,papier-maché,SPEC,papier-mache
662781,papier-maché,WW,papier-mache
666609,passé,N,passe
666611,passé,SPEC,passe
668309,paté,N,pate
698834,privé,ADJ,prive
698838,privé,N,prive
698840,privé-aangelegenheid,N,prive-aangelegenheid
698849,privé-adres,N,prive-adres
698898,privé-bezit,N,prive-bezit
698936,privé-chauffeur,N,prive-chauffeur
698942,privé-club,N,prive-club
698947,privé-collectie,N,prive-collectie
698972,privé-detective,ADJ,prive-detective
698974,privé-detective,N,prive-detective
698977,privé-detective,SPEC,prive-detective
698980,privé-detective,WW,prive-detective
699002,privé-eigendom,N,prive-eigendom
699006,privé-eigendom,SPEC,prive-eigendom
699008,privé-eiland,N,prive-eiland
699011,privé-eiland,WW,prive-eiland
699046,privé-gesprek,N,prive-gesprek
699090,privé-instelling,N,prive-instelling
699094,privé-investeerder,N,prive-investeerder
699101,privé-jet,N,prive-jet
699124,privé-kliniek,N,prive-kliniek
699137,privé-kwestie,N,prive-kwestie
699148,privé-leger,ADJ,prive-leger
699150,privé-leger,N,prive-leger
699160,privé-les,N,prive-les
699163,privé-leven,N,prive-leven
699166,privé-leven,WW,prive-leven
699193,privé-nummer,ADJ,prive-nummer
699195,privé-nummer,N,prive-nummer
699241,privé-persoon,N,prive-persoon
699276,privé-rondleiding,N,prive-rondleiding
699278,privé-ruimte,N,prive-ruimte
699280,privé-ruimte,WW,prive-ruimte
699305,privé-sector,N,prive-sector
699351,privé-tafel,N,prive-tafel
699360,privé-terrein,ADJ,prive-terrein
699362,privé-terrein,N,prive-terrein
699366,privé-terrein,SPEC,prive-terrein
699418,privé-vliegtuig,ADJ,prive-vliegtuig
699420,privé-vliegtuig,N,prive-vliegtuig
699426,privé-vlucht,N,prive-vlucht
699442,privé-woning,N,prive-woning
699444,privé-zaak,N,prive-zaak
699467,privébezit,ADJ,privebezit
699469,privébezit,N,privebezit
699477,privéclub,N,priveclub
699487,privédetective,ADJ,privedetective
699489,privédetective,N,privedetective
699491,privédetective,SPEC,privedetective
699503,privégesprek,N,privegesprek
699511,privéjet,N,privejet
699519,privékliniek,N,privekliniek
699523,privékwestie,N,privekwestie
699532,privéleger,ADJ,priveleger
699534,privéleger,N,priveleger
699536,privéleraar,N,priveleraar
699541,privéles,N,priveles
699543,privéleven,N,priveleven
699558,privénummer,ADJ,privenummer
699560,privénummer,N,privenummer
699575,privéschool,N,priveschool
699599,privéterrein,ADJ,priveterrein
699601,privéterrein,N,priveterrein
699624,privévertrek,N,privevertrek
699628,privévliegtuig,N,privevliegtuig
699640,privézaak,N,privezaak
702559,prostitué,N,prostitue
702564,prostitué,SPEC,prostitue
703627,présence,SPEC,presence
726529,resumé,N,resume
742087,rosé,ADJ,rose
742089,rosé,N,rose
749655,résistance,N,resistance
749657,résistance,SPEC,resistance
756692,santé,N,sante
756694,santé,SPEC,sante
758492,saté,N,sate
787318,slaapcoupé,N,slaapcoupe
799466,soufflé,N,souffle
799470,soufflé,SPEC,souffle
799473,soufflé,VNW,souffle
828948,subcomité,N,subcomite
842213,taugé,N,tauge
876044,truckerscafé,N,truckerscafe
881568,twéé,ADJ,twee
881570,twéé,N,twee
881573,twéé,SPEC,twee
882241,té,ADJ,te
882244,té,N,te
882247,té,SPEC,te
882250,té,WW,te
888259,uitéén,N,uiteen
888261,uitéén,WW,uiteen
897924,variété,N,variete
897927,variété,SPEC,variete
897946,variétéshow,N,varieteshow
947523,wannéér,ADJ,wanneer
947525,wannéér,N,wanneer
956892,welkomstcomité,N,welkomstcomite
956895,welkomstcomité,SPEC,welkomstcomite
975085,wég,N,weg
975087,wég,SPEC,weg
975106,wél,ADJ,wel
975108,wél,BW,wel
975120,wéér,ADJ,weer
975123,wéér,N,weer
975126,wéér,SPEC,weer
975128,wéér,VNW,weer
975130,wéér,WW,weer
975132,wéét,BW,weet
975134,wéét,N,weet
975136,wéét,WW,weet
997702,zéker,ADJ,zeker
997704,zéker,N,zeker
997714,zéér,ADJ,zeer
997717,zéér,BW,zeer
997719,zéér,N,zeer
997722,zéér,SPEC,zeer
1000176,én,VG,en
1000180,éne,ADJ,ene
1000182,éne,N,ene
1000184,éne,WW,ene
1000231,één,LID,een
1000233,één,N,een
1000236,één,SPEC,een
1000239,één,TW,een
1000245,één,VNW,een
1000335,ééncellig,ADJ,eencellig
1000380,éénmaal,ADJ,eenmaal
1000383,éénmaal,N,eenmaal
1000386,éénmaal,WW,eenmaal
1000390,éénmalig,ADJ,eenmalig
1000394,éénmalig,N,eenmalig
1000407,éénoog,N,eenoog
1000410,éénoog,VZ,eenoog
1000416,éénpersoons,N,eenpersoons
1000421,éénpersoonskamer,N,eenpersoonskamer
1000440,ééntje,N,eentje
1000442,ééntje,TW,eentje
240403,dít,N,dit
240405,dít,VNW,dit
240407,dít,WW,dit
1000543,ín,N,in
1000545,ín,VZ,in
1000547,ín,WW,in
191178,daarvóór,N,daarvoor
240418,dóór,ADJ,door
240420,dóór,BW,door
240422,dóór,N,door
260148,ervóór,N,ervoor
591938,móét,WW,moet
617371,nóg,BW,nog
617373,nóg,N,nog
617375,nóg,SPEC,nog
617380,nóóit,BW,nooit
882289,tóch,ADJ,toch
882291,tóch,BW,toch
943033,vóór,SPEC,voor
943035,vóór,VZ,voor
943037,vóór,WW,voor
943041,vóórdat,N,voordat
943044,vóórdat,VG,voordat
943046,vóórdat,WW,voordat
997748,zó,BW,zo
997750,zó,TSW,zo
1000688,óf,ADJ,of
1000690,óf,BW,of
1000692,óf,N,of
1000695,óf,VNW,of
1000697,óf,WW,of
1000710,óp,BW,op
1000712,óp,N,op
1000720,óók,BW,ook
617385,nú,BW,nu
617387,nú,SPEC,nu
1000750,úw,ADJ,uw
1000753,úw,N,uw
