,Lemma,POS,meaning_en
265862,experimentele,SPEC,
266046,explosieven,SPEC,
266432,extraatje,SPEC,
266559,extreme,SPEC,
266862,ezeltje,SPEC,
268030,face,BW,
268032,face,SPEC,
268130,facto,SPEC,
268399,faillissementen,SPEC,
269612,familieproblemen,SPEC,
269841,familiezaken,SPEC,
270004,fancy,SPEC,
270159,fans,SPEC,
270425,fantasy,SPEC,
270459,fantomen,SPEC,
270737,farizeeërs,SPEC,
270794,farmaceutische,SPEC,
270842,farmers,SPEC,
270859,farms,SPEC,
271314,fata,SPEC,
271344,fatale,SPEC,
271434,fats,SPEC,
271658,faut,SPEC,
272420,februari,SPEC,
272949,feestje,SPEC,
273357,felbegeerd,ADJ,
273360,felbegeerd,WW,
273660,feller,SPEC,
274756,fetisjisten,SPEC,
275123,fiction,SPEC,
275616,figaro,SPEC,
275692,figuranten,SPEC,
276596,filmmakers,SPEC,
277216,financiële,SPEC,
277306,fine,SPEC,
277848,first,SPEC,
278258,five,SPEC,
278554,flamboyante,SPEC,
278815,flapperende,SPEC,
278847,flash,SPEC,
278919,flashy,SPEC,
279887,flinters,SPEC,
279998,flippers,SPEC,
280310,flodders,SPEC,
280413,flor,SPEC,
281082,fluorescerend,SPEC,
281356,flyers,SPEC,
281803,fokkers,SPEC,
282124,fondsen,SPEC,
282430,football,SPEC,
282432,football,VNW,
282707,force,SPEC,
282710,forceer,SPEC,
283006,forensische,SPEC,
283103,forma,SPEC,
283169,format,SPEC,
283273,formules,SPEC,
284485,fouilleer,SPEC,
284517,foundation,SPEC,
284838,foxen,SPEC,
285049,fragiele,SPEC,
285589,franciscanen,SPEC,
285645,franco,SPEC,
285714,francs,SPEC,
286439,franke,SPEC,
286448,franken,SPEC,
287028,fransozen,SPEC,
287515,freaks,SPEC,
288275,free,SPEC,
288796,freudiaan,SPEC,
289074,frietje,SPEC,
289093,friezen,SPEC,
289282,frites,SPEC,
290637,full,SPEC,
291198,fuseliers,SPEC,
291252,fusies,SPEC,
291273,fusion,SPEC,
292358,gaaien,SPEC,
292450,gaande,ADJ,
292452,gaande,WW,
292458,gaandeweg,BW,
292501,gaarne,BW,
293322,galactische,SPEC,
293564,galen,SPEC,
293749,galjoenen,SPEC,
294058,galt,SPEC,
294236,games,SPEC,
294669,gangsters,SPEC,
294875,gap,SPEC,
295157,garden,SPEC,
295420,garnalen,SPEC,
296024,gasbellen,SPEC,
296346,gastarbeiders,SPEC,
296733,gates,SPEC,
296761,gateway,SPEC,
297382,gazons,SPEC,
297674,geadopteerd,SPEC,
297693,geallieerden,SPEC,
297709,geannuleerd,SPEC,
297736,gearresteerd,SPEC,
297858,gebaseerd,SPEC,
297993,gebeld,SPEC,
298038,gebeurd,SPEC,
298103,gebeurt,SPEC,
298300,geblokt,ADJ,
298302,geblokt,WW,
298978,gecensureerd,SPEC,
298980,gecertificeerde,SPEC,
299015,gecodeerd,SPEC,
299396,gedecodeerd,SPEC,
299470,gedenk,SPEC,
299559,gedesoriënteerd,ADJ,
299561,gedesoriënteerd,WW,
299712,gedood,SPEC,
299737,gedownload,SPEC,
299918,gedragswetenschappen,SPEC,
299993,gedroeg,SPEC,
299999,gedrongen,ADJ,
300002,gedrongen,N,
300084,gedurende,VZ,
300406,geen,VNW,
300486,geenszins,BW,
300505,geert,SPEC,
300569,geestdodend,ADJ,
300572,geestdodend,WW,
301046,gefortuneerd,ADJ,
301049,gefortuneerd,WW,
301066,gefrituurd,SPEC,
301133,gegarandeerd,ADJ,
301136,gegarandeerd,WW,
301165,gegeven,ADJ,
301167,gegeven,N,
301172,gegeven,VZ,
301403,gehad,SPEC,
301519,gehandicapten,ADJ,
301521,gehandicapten,N,
301523,gehandicapten,SPEC,
301777,geheimzinnige,SPEC,
301834,geherprogrammeerd,SPEC,
302086,gehoornde,SPEC,
302310,geile,SPEC,
302665,gejat,SPEC,
302777,gekend,ADJ,
302780,gekend,WW,
302804,geketend,SPEC,
303101,geknipt,ADJ,
303104,geknipt,WW,
303185,gekozen,ADJ,
303187,gekozen,N,
303202,gekraakt,SPEC,
303249,gekroond,ADJ,
303251,gekroond,WW,
303259,gekruide,SPEC,
303265,gekruisigde,SPEC,
303357,gekwetst,ADJ,
303359,gekwetst,TW,
303361,gekwetst,WW,
303397,gelaarsde,SPEC,
303444,geladen,ADJ,
303446,geladen,N,
303471,gelanceerd,SPEC,
303595,geldautomaten,SPEC,
304044,geleefd,SPEC,
304062,geleerd,ADJ,
304066,geleerd,SPEC,
304068,geleerd,WW,
304152,gelegitimeerd,SPEC,
304454,gelijkenissen,SPEC,
305735,geluld,SPEC,
305749,geluncht,SPEC,
305938,gemaskerde,SPEC,
306091,gemeenschappelijke,SPEC,
306254,gemeentelijke,SPEC,
306621,genaaid,SPEC,
306706,genadige,SPEC,
306729,genas,SPEC,
306864,genees,SPEC,
306875,geneesheren,SPEC,
306911,geneest,SPEC,
306945,genen,SPEC,
306947,genen,VNW,
307148,generaals,SPEC,
307213,generale,SPEC,
307431,geneugten,SPEC,
307519,genezende,SPEC,
307600,geniale,SPEC,
307794,genoeg,ADJ,
307797,genoeg,BW,
307799,genoeg,SPEC,
307801,genoeg,WW,
308100,genua,SPEC,
308187,geobsedeerde,SPEC,
308442,geordend,ADJ,
308444,geordend,WW,
309488,gepensioneerden,SPEC,
309558,geplaatst,SPEC,
309617,gepoft,ADJ,
309619,gepoft,WW,
309667,geprezen,SPEC,
309687,geprobeerd,SPEC,
309793,geradbraakt,SPEC,
310203,gered,SPEC,
310334,geregistreerd,SPEC,
310350,gereisd,SPEC,
310513,gerijpt,ADJ,
310515,gerijpt,WW,
310980,gerukt,SPEC,
311075,geschatte,SPEC,
311081,gescheiden,ADJ,
311083,gescheiden,N,
311122,geschenken,SPEC,
311138,geschenkje,SPEC,
311306,geschifte,SPEC,
311341,geschillen,SPEC,
311380,geschonken,SPEC,
311385,geschoold,TW,
311722,geslagen,ADJ,
311725,geslagen,N,
311728,geslagen,SPEC,
311743,geslepen,ADJ,
311746,geslepen,N,
311956,gespeend,ADJ,
311958,gespeend,WW,
312118,gesproken,SPEC,
312198,gestand,ADJ,
312200,gestand,WW,
312310,gestolde,SPEC,
312330,gestoofde,ADJ,
312332,gestoofde,WW,
312363,gestoorde,SPEC,
312389,gestopt,ADJ,
312391,gestopt,SPEC,
312393,gestopt,WW,
312425,gestrand,SPEC,
312524,gesynchroniseerd,ADJ,
312527,gesynchroniseerd,WW,
312551,getaand,SPEC,
312563,getalenteerd,ADJ,
312568,getalenteerd,WW,
312572,getallen,SPEC,
312656,getelefoneerd,SPEC,
312757,getiteld,SPEC,
312784,getraind,ADJ,
312787,getraind,WW,
312883,getrouwd,ADJ,
312887,getrouwd,SPEC,
312889,getrouwd,WW,
313220,geurkaarsen,SPEC,
313512,gevangenen,ADJ,
313514,gevangenen,N,
313517,gevangenen,SPEC,
313835,gevangenissen,SPEC,
314361,gevederd,ADJ,
314363,gevederd,WW,
314448,gevende,SPEC,
314468,gevers,SPEC,
314512,gevlekt,ADJ,
314517,gevlekt,WW,
314521,gevlekte,SPEC,
314525,gevleugeld,ADJ,
314528,gevleugeld,WW,
314841,gevreesd,ADJ,
314844,gevreesd,WW,
314862,gevuld,ADJ,
314866,gevuld,SPEC,
314868,gevuld,WW,
314886,gewaagd,ADJ,
314891,gewaagd,WW,
314918,gewacht,SPEC,
315054,geweerschoten,SPEC,
315092,geweien,SPEC,
315231,geweldige,SPEC,
315294,geweldsmisdrijven,SPEC,
315380,gewerkt,SPEC,
315409,gewetenloos,ADJ,
315412,gewetenloos,SPEC,
315414,gewetenloos,WW,
315421,gewetensbezwaren,SPEC,
315466,gewichten,SPEC,
315547,gewiekst,ADJ,
315551,gewiekst,WW,
315570,gewild,ADJ,
315572,gewild,WW,
315816,gewoonweg,BW,
316081,gezellen,SPEC,
316205,gezichten,SPEC,
316491,gezinnen,SPEC,
316627,gezinszorg,SPEC,
316710,gezonden,SPEC,
316978,gezouten,ADJ,
316981,gezouten,N,
317063,geëerd,ADJ,
317065,geëerd,TW,
317067,geëerd,WW,
317114,geïnfiltreerd,SPEC,
317670,gibbons,SPEC,
318627,gillende,SPEC,
318993,ginder,BW,
319571,gister,BW,
319603,gisterenavond,BW,
319607,gisterenmiddag,BW,
319613,gisterennacht,BW,
319630,gistermiddag,BW,
319638,gisternacht,BW,
319642,gisterochtend,ADJ,
319644,gisterochtend,BW,
319646,gisterochtend,WW,
320096,gladiatoren,SPEC,
320335,glanzend,ADJ,
320337,glanzend,WW,
320994,glibbert,SPEC,
321316,glitterpakken,SPEC,
321394,globale,SPEC,
321436,globetrotters,SPEC,
321973,gluur,SPEC,
322881,godgeklaagd,ADJ,
322883,godgeklaagd,WW,
322908,godinnen,SPEC,
323344,godvrezende,SPEC,
323707,goeden,SPEC,
323886,goedgehumeurd,ADJ,
323888,goedgehumeurd,WW,
323892,goedgekeurd,SPEC,
324173,goeds,SPEC,
324886,gold,SPEC,
324961,golden,SPEC,
325570,goliath,SPEC,
325934,goochelaars,SPEC,
326005,goocheltrucje,SPEC,
326009,goocheltrucs,SPEC,
326534,gord,SPEC,
326774,gore,SPEC,
326789,goreng,SPEC,
327194,goten,SPEC,
327208,goth,SPEC,
327246,gothic,SPEC,
327421,gouden,ADJ,
327424,gouden,N,
327426,gouden,SPEC,
327608,goudkust,SPEC,
328083,gps,SPEC,
328140,gps-zenders,SPEC,
328349,graag,ADJ,
328355,graag,BW,
328357,graag,SPEC,
328360,graag,WW,
328544,graas,SPEC,
329108,grafton,SPEC,
329410,granaatscherven,SPEC,
329435,granaten,ADJ,
329437,granaten,SPEC,
329439,granaten,WW,
329612,grandes,SPEC,
329725,granieten,ADJ,
329727,granieten,N,
329751,granny,SPEC,
329927,grapjassen,SPEC,
330273,gratin,SPEC,
330367,grauwe,SPEC,
331027,greenberg,SPEC,
331583,grendels,SPEC,
331598,grenen,ADJ,
331601,grenen,N,
332133,grieken,SPEC,
332297,grieten,SPEC,
332397,griezels,SPEC,
332730,grijze,SPEC,
332838,grim,SPEC,
332892,grimes,SPEC,
333104,gris,SPEC,
333581,groenland,SPEC,
334029,groeven,SPEC,
334084,grofweg,BW,
334237,grondbeginselen,SPEC,
334973,grootste,SPEC,
335817,grover,SPEC,
336004,grunge,SPEC,
337251,gulle,VNW,
337296,gulpen,SPEC,
337323,gulzige,SPEC,
337895,gust,SPEC,
338541,gynaecologen,SPEC,
339504,haantjes,SPEC,
340153,haarzelf,VNW,
340187,haasje,SPEC,
340244,haat-liefde,ADJ,
340246,haat-liefde,SPEC,
340248,haat-liefde,WW,
340659,had,SPEC,
340724,hadden,SPEC,
341088,hagen,SPEC,
342093,halfeen,BW,
342332,halfvier,BW,
342345,halfvolle,SPEC,
342374,halfweg,BW,
342376,halfweg,SPEC,
342391,halfzes,BW,
342393,halfzeven,BW,
342832,halls,SPEC,
343050,halsoverkop,BW,
343201,halverwege,BW,
343203,halverwege,VZ,
343292,hamas,SPEC,
343444,hamerhaaien,SPEC,
343452,hamers,SPEC,
343471,hamert,SPEC,
343633,hammen,SPEC,
344613,handgemaakt,ADJ,
344615,handgemaakt,WW,
344635,handgeschreven,ADJ,
344638,handgeschreven,BW,
344640,handgeschreven,N,
344642,handgesneden,ADJ,
344644,handgesneden,N,
344665,handhaaf,SPEC,
344747,handjes,SPEC,
345195,hanen,SPEC,
345249,hangaars,SPEC,
346417,harder,SPEC,
346461,hardhorend,ADJ,
346463,hardhorend,WW,
346470,hardhouten,ADJ,
346472,hardhouten,N,
346492,harding,SPEC,
346841,harige,SPEC,
347448,harpen,SPEC,
348686,hartman,SPEC,
348830,hartstikke,BW,
348832,hartstikke,SPEC,
348894,hartverscheurend,ADJ,
348898,hartverscheurend,WW,
348907,hartverwarmend,ADJ,
348911,hartverwarmend,WW,
349905,haute,SPEC,
350097,havens,SPEC,
350713,hazards,SPEC,
350799,hazen,SPEC,
350952,hbs,SPEC,
352339,heelde,SPEC,
352877,heerlijke,SPEC,
352890,heers,SPEC,
352904,heerscharen,SPEC,
352934,heersers,SPEC,
352936,heerst,SPEC,
352960,heesters,SPEC,
353014,heetgebakerd,ADJ,
353017,heetgebakerd,WW,
353046,heetste,SPEC,
353279,heiden,ADJ,
353281,heiden,N,
353386,heikneuters,SPEC,
354373,helaas,BW,
354420,helden,SPEC,
354583,heldere,SPEC,
355599,helmpje,SPEC,
355749,helpende,SPEC,
356367,hemzelf,SPEC,
356370,hemzelf,VNW,
356477,hendrik,SPEC,
357367,henzelf,VNW,
358454,herhaal,SPEC,
359104,hermitage,SPEC,
359421,heroverweeg,SPEC,
359750,herren,SPEC,
359965,herschreven,SPEC,
360200,hersenkwabben,SPEC,
360688,herten,SPEC,
360838,hertrouwt,SPEC,
360969,hervormers,SPEC,
361047,herzie,SPEC,
361175,het,LID,"the (definite article, for het-woorden)"
361185,het,VNW,it
361701,heter,SPEC,
361988,hetwelk,SPEC,
361990,hetwelk,VNW,
362037,hetzelve,VNW,
362047,hetzij,VG,
362152,heupjes,SPEC,
362552,hezbollah,SPEC,
362764,hickory,SPEC,
362780,hidalgo,SPEC,
362971,hieraan,BW,
362973,hierachter,BW,
362975,hieraf,BW,
362991,hierbij,BW,
363006,hierboven,BW,
363021,hierdoor,BW,
363055,hierin,BW,
363092,hiermee,BW,
363098,hierna,BW,
363104,hiernaartoe,BW,
363106,hiernaast,BW,
363142,hieromheen,BW,
363144,hieromtrent,BW,
363146,hieronder,BW,
363162,hierover,BW,
363172,hiertegen,BW,
363180,hiertoe,BW,
363186,hieruit,BW,
363198,hiervandaan,BW,
363208,hiervoor,BW,
363788,hijzelf,BW,
363790,hijzelf,VNW,
364390,hindoes,SPEC,
364430,hinkel,SPEC,
364650,hipper,SPEC,
365348,hiëroglyfen,SPEC,
366465,hoeders,SPEC,
366467,hoedje,SPEC,
366473,hoedt,SPEC,
366752,hoelang,BW,
366754,hoelang,VG,
367266,hoever,BW,
367293,hoezeer,BW,
367295,hoezeer,VG,
367370,hofdames,SPEC,
367575,hoge,SPEC,
367704,hogere,SPEC,
367716,hogerhuis,SPEC,
368020,holden,SPEC,
368199,holle,SPEC,
368228,holler,SPEC,
368880,holt,SPEC,
368890,holten,SPEC,
369234,hommels,SPEC,
369448,homofiele,SPEC,
370468,honderdduizend,TW,
370525,honderdste,TW,
370551,honderduit,BW,
370561,honderdveertig,TW,
370568,honderdvijftig,TW,
371994,hoofden,SPEC,
372431,hoofdmotoren,SPEC,
373199,hoogdravend,ADJ,
373203,hoogdravend,WW,
373311,hoogheden,SPEC,
373364,hooglanden,SPEC,
373372,hooglanders,SPEC,
373379,hooglied,SPEC,
373515,hoogstens,BW,
373567,hoogtepunten,SPEC,
373599,hooguit,BW,
373601,hoogverheven,ADJ,
373603,hoogverheven,N,
373911,hoorde,VNW,
373965,hoornen,ADJ,
373967,hoornen,WW,
374132,hope,SPEC,
374192,hopeloze,SPEC,
374429,hordes,SPEC,
374510,horendol,BW,
374514,horens,BW,
374940,horst,SPEC,
375152,host,SPEC,
375195,hot,BW,
375197,hot,SPEC,
375831,hotels,SPEC,
376151,houdt,SPEC,
376221,hour,SPEC,
377593,hubs,SPEC,
378114,huidige,SPEC,
378351,huilt,SPEC,
378810,huismussen,SPEC,
378976,huisvrouwen,SPEC,
378982,huisvrouwtje,SPEC,
379063,huiveringwekkend,ADJ,
379066,huiveringwekkend,SPEC,
379068,huiveringwekkend,WW,
379072,huize,SPEC,
379258,huldigt,SPEC,
379518,hulpmiddelen,SPEC,
379810,human,SPEC,
379834,humane,SPEC,
379999,hummels,SPEC,
380322,huns,SPEC,
380483,hunzelf,VNW,
380653,hurk,SPEC,
381732,huwelijksvoorwaarden,ADJ,
381734,huwelijksvoorwaarden,N,
381811,huzaren,SPEC,
382751,hypocrieten,SPEC,
383998,ic,SPEC,
384248,idealiter,BW,
384337,idem,BW,
384339,idem,SPEC,
384422,identificeer,SPEC,
384685,idioten,SPEC,
384780,ie,VNW,
384836,iedereen,SPEC,
384838,iedereen,VNW,
384864,iedereens,SPEC,
384866,iedereens,VNW,
385106,iet,VNW,
385163,ietsjes,BW,
385171,ietwat,BW,
385429,ijdele,SPEC,
386168,ijsvissen,SPEC,
386375,ijzersterke,SPEC,
387022,ikzelf,VNW,
387622,immaterieel,ADJ,
387625,immaterieel,WW,
387634,immense,SPEC,
387646,immers,BW,
387914,imperia,SPEC,
388089,importeer,SPEC,
388923,inboorlingen,SPEC,
388952,inbox,SPEC,
389507,inderdaad,BW,
389509,inderdaad,SPEC,
389529,indertijd,BW,
389610,indianen,SPEC,
389760,indien,VG,
390173,industries,SPEC,
390229,ineen,BW,
390263,ineens,BW,
390922,informeer,SPEC,
391038,infrastructuren,SPEC,
391079,inga,SPEC,
391238,ingepraat,SPEC,
391260,ingeschakeld,SPEC,
391266,ingeslagen,SPEC,
391307,ingeval,VG,
391319,ingevolge,VZ,
392572,inmiddels,BW,
394532,integendeel,BW,
395398,interplanetaire,SPEC,
396780,inzake,VZ,
397195,ipso,SPEC,
397710,is,SPEC,
397713,is,TW,
398777,items,SPEC,
400034,jaag,SPEC,
400335,jaartje,SPEC,
401721,jackets,SPEC,
402667,jagers,SPEC,
402784,jaguars,SPEC,
405447,jankt,SPEC,
405577,januari,SPEC,
405712,japanners,SPEC,
405889,jaren,SPEC,
406162,jasmin,SPEC,
410113,jerrycans,SPEC,
410767,jetje,SPEC,
410992,jeugdherinneringen,SPEC,
411504,jezuïeten,SPEC,
411935,jijzelf,VNW,
413157,jingles,SPEC,
413830,jobs,SPEC,
413986,joden,SPEC,
414879,joeg,SPEC,
414924,joel,SPEC,
415260,jofele,SPEC,
417888,joints,SPEC,
418130,jonas,SPEC,
418321,jonathans,SPEC,
418433,jonge,SPEC,
420782,jubel,SPEC,
421362,juist,ADJ,
421370,juist,BW,
421372,juist,WW,
421445,jukeboxen,SPEC,
421516,juli,SPEC,
422224,jumpers,SPEC,
422502,jungles,SPEC,
422526,juni,SPEC,
422796,junkies,SPEC,
422813,junks,SPEC,
422928,jura,SPEC,
423018,juristen,SPEC,
423190,just,SPEC,
423329,justitiële,SPEC,
423366,juten,SPEC,
423465,juweeltje,SPEC,
424682,kaarttrucs,SPEC,
425414,kades,SPEC,
426183,kalasjnikovs,SPEC,
426211,kale,SPEC,
426386,kali,SPEC,
426715,kalle,SPEC,
426802,kalmeer,SPEC,
426822,kalmer,SPEC,
426874,kalmeringspillen,SPEC,
427268,kameraden,SPEC,
427387,kamers,SPEC,
427781,kampioenen,SPEC,
427815,kampioenschappen,SPEC,
428001,kamt,SPEC,
428686,kannibalen,SPEC,
428957,kansen,SPEC,
429054,kanten,ADJ,
429056,kanten,WW,
429358,kantoren,SPEC,
429491,kapers,SPEC,
430542,karaktertrekken,SPEC,
430852,kardinalen,SPEC,
430940,karen,SPEC,
432218,kastjes,SPEC,
432856,katholieke,SPEC,
433806,kauwgomballen,SPEC,
434224,kazernes,SPEC,
434542,keef,SPEC,
434714,keepers,SPEC,
434900,kegels,SPEC,
435264,keizers,SPEC,
435389,kelders,SPEC,
435882,kemp,SPEC,
436015,kende,SPEC,
436270,kennels,SPEC,
436616,kent,SPEC,
436671,kentekens,SPEC,
437052,kerken,SPEC,
438410,kerstmannen,SPEC,
438469,kerstmissen,SPEC,
438597,kerstsokken,SPEC,
439013,ketst,SPEC,
439237,keukenmessen,SPEC,
439461,keuzes,SPEC,
439508,kevers,SPEC,
440580,kicks,SPEC,
440588,kid,SPEC,
441706,kille,SPEC,
442476,kinderdagverblijven,SPEC,
442500,kinderen,SPEC,
444564,kirt,SPEC,
445093,klaagliederen,SPEC,
445445,klamboes,SPEC,
446067,klassieke,SPEC,
446613,kleedkamers,SPEC,
446631,kleedt,SPEC,
446637,kleef,SPEC,
446953,kleine,SPEC,
447324,kleinste,SPEC,
448144,kleurlingen,SPEC,
448443,klikkers,SPEC,
448455,klikt,SPEC,
448457,klikte,SPEC,
448601,klimt,SPEC,
448794,klinieken,SPEC,
449248,klom,SPEC,
449275,klompje,SPEC,
449466,kloosterlingen,SPEC,
449594,klootzakken,SPEC,
449705,klopt,SPEC,
449728,klopten,SPEC,
451363,kluizen,SPEC,
451370,kluizenaars,SPEC,
451466,klusje,SPEC,
451699,knabbels,SPEC,
451886,knappe,SPEC,
451924,knapperds,SPEC,
451949,knapt,SPEC,
452236,knickerbockers,SPEC,
452395,knieën,SPEC,
453168,knorrend,SPEC,
453854,koeien,SPEC,
454399,koene,SPEC,
454434,koerden,SPEC,
454573,koester,SPEC,
456100,kolonels,SPEC,
456121,kolonialen,SPEC,
456142,kolonies,SPEC,
456188,koloniën,SPEC,
456667,komische,SPEC,
456871,komt,SPEC,
456913,kon,SPEC,
457068,konijnen,SPEC,
457133,konijnenoren,SPEC,
457351,koningen,SPEC,
457430,koninginnen,SPEC,
457620,koninklijke,SPEC,
457679,koninklijken,SPEC,
458714,koorden,SPEC,
458824,koos,SPEC,
459089,kopieer,SPEC,
459416,kopstoten,SPEC,
459429,koptelefoons,SPEC,
459871,korsten,ADJ,
459873,korsten,N,
459956,korte,SPEC,
460102,kortom,BW,
460131,kortste,SPEC,
460143,kortweg,BW,
460569,kostuums,SPEC,
461064,kozakken,SPEC,
461583,krachtens,BW,
461585,krachtens,VZ,
461792,kragen,SPEC,
462035,krankzinnigen,SPEC,
462574,kreeften,SPEC,
462633,kreeg,SPEC,
462724,kreken,SPEC,
462991,kreupele,SPEC,
463205,krijgers,SPEC,
463574,krimpende,SPEC,
463829,kristalliseert,SPEC,
463884,kristen,SPEC,
463908,kristin,SPEC,
463977,kritieke,SPEC,
464224,krokodillen,SPEC,
464369,kromp,SPEC,
464413,kroniekschrijvers,SPEC,
464518,kroonjuwelen,SPEC,
464885,kruiers,SPEC,
464937,kruimeltje,SPEC,
464939,kruimeltjes,SPEC,
464953,kruip,SPEC,
465115,kruisig,SPEC,
465355,kruizen,SPEC,
466021,kuise,SPEC,
466160,kult,SPEC,
466576,kunsten,SPEC,
468070,kutwijven,SPEC,
468271,kwaadaardige,SPEC,
468342,kwaak,SPEC,
468691,kwam,SPEC,
469188,kwelde,SPEC,
471194,laadt,SPEC,
471591,laatste,SPEC,
471959,labs,SPEC,
472163,lachje,SPEC,
472212,lacht,SPEC,
472402,ladders,SPEC,
472859,lafaards,SPEC,
472925,laffe,SPEC,
472992,lag,BW,
473013,lage,SPEC,
473435,lakeien,SPEC,
473644,lallend,SPEC,
473817,lambda,SPEC,
474887,lande,SPEC,
474993,landgenoten,SPEC,
475414,landrover,SPEC,
476039,langs,SPEC,
476041,langs,VZ,
476085,langsheen,VZ,
476151,langst,VZ,
476215,languit,BW,
476260,langzaamaan,BW,
476268,langzame,SPEC,
476274,langzamer,SPEC,
476282,langzamerhand,BW,
476388,lansen,SPEC,
476433,lantaarns,SPEC,
476714,laptops,SPEC,
478678,laude,SPEC,
479145,lauwe,SPEC,
479725,lay-outs,SPEC,
480870,lease,SPEC,
481217,leden,SPEC,
481284,lederen,ADJ,
481286,lederen,N,
481584,leefde,SPEC,
481800,leeghoofden,SPEC,
482435,leesproblemen,SPEC,
482449,leest,SPEC,
482514,leeuwen,SPEC,
482855,lege,SPEC,
482885,legend,SPEC,
482910,legenden,SPEC,
482912,legendes,SPEC,
483333,legers,SPEC,
483557,legionairs,SPEC,
483759,leid,SPEC,
484132,lekkende,SPEC,
484330,lelietjes-van-dalen,SPEC,
484757,leners,SPEC,
484855,leningrad,SPEC,
486335,lesbiennes,SPEC,
486358,lesbische,SPEC,
486957,letters,SPEC,
487210,leukste,SPEC,
487214,leun,SPEC,
487353,level,SPEC,
487363,levels,SPEC,
487491,levenden,SPEC,
487572,levensbedreigend,ADJ,
487574,levensbedreigend,WW,
487805,levenslange,SPEC,
489256,libellen,SPEC,
489301,liberale,SPEC,
490011,lichtgeraakt,ADJ,
490013,lichtgeraakt,WW,
490219,lichts,SPEC,
490256,lichtsignalen,SPEC,
490979,liefdesbrieven,SPEC,
491077,liefdesgedichten,SPEC,
491646,lieg,SPEC,
491752,liesjes,SPEC,
493963,lijsters,SPEC,
494574,limit,SPEC,
494730,limousines,SPEC,
495932,linksboven,BW,
496000,linnen,ADJ,
496002,linnen,N,
496005,linnen,SPEC,
497537,lives,SPEC,
501082,locale,SPEC,
501353,locomotieven,SPEC,
501359,locs,SPEC,
501596,loeven,SPEC,
501872,loges,SPEC,
501971,logos,SPEC,
502106,lokale,SPEC,
502540,lomper,SPEC,
503336,loodgieters,SPEC,
503479,looiers,SPEC,
503772,loopjongen,ADJ,
503774,loopjongen,N,
503779,loopjongens,SPEC,
503826,loopt,SPEC,
504281,lords,SPEC,
504464,lori,SPEC,
504887,losgekoppeld,SPEC,
505147,losser,SPEC,
505191,lost,SPEC,
505388,lotje,SPEC,
506455,low,SPEC,
508635,luchtaanvallen,SPEC,
508721,luchtbellen,SPEC,
509036,luchtkastelen,SPEC,
509598,luchtverfrissers,SPEC,
509671,luchtwegen,SPEC,
509837,lucifers,SPEC,
510536,luidruchtige,SPEC,
511176,luitenants,SPEC,
512396,lustige,SPEC,
512418,lustra,SPEC,
513376,lynch,SPEC,
515441,maagden,SPEC,
515464,maagdeneilanden,SPEC,
515581,maagtabletten,SPEC,
515630,maai,SPEC,
515912,maandagen,SPEC,
516625,maarten,SPEC,
517051,macabere,SPEC,
